,date,open,high,low,close,volume,Name
666,2014-12-06,154.21,154.37,152.38,154.18,909340,AAP
667,2014-12-07,154.21,154.37,152.38,154.18,909340,AAP
668,2014-12-08,154.89,154.89,152.89,153.68,817216,AAP
669,2014-12-09,152.01,158.65,152.01,158.25,1242193,AAP
670,2014-12-10,158.16,159.12,156.81,157.24,658130,AAP
671,2014-12-11,157.34,161.27,157.34,159.16,807377,AAP
672,2014-12-12,158.92,161.99,158.92,160.25,857534,AAP
673,2014-12-13,158.92,161.99,158.92,160.25,857534,AAP
674,2014-12-14,158.92,161.99,158.92,160.25,857534,AAP
675,2014-12-15,161.7,163.36,160.29,161.01,1343517,AAP
676,2014-12-16,161.0,161.26,156.98,157.01,1159225,AAP
677,2014-12-17,157.28,159.7,155.87,159.55,498188,AAP
678,2014-12-18,161.05,161.56,159.29,160.74,505296,AAP
679,2014-12-19,160.71,161.21200000000002,159.01,159.85,1017913,AAP
680,2014-12-20,160.71,161.21200000000002,159.01,159.85,1017913,AAP
681,2014-12-21,160.71,161.21200000000002,159.01,159.85,1017913,AAP
682,2014-12-22,160.22,160.66,158.79,159.44,510159,AAP
683,2014-12-23,160.51,162.52,160.27,161.19,524904,AAP
684,2014-12-24,161.44,162.4,160.22,160.23,152415,AAP
685,2014-12-25,161.44,162.4,160.22,160.23,152415,AAP
686,2014-12-26,160.28,161.2493,159.86,160.0,307543,AAP
687,2014-12-27,160.28,161.2493,159.86,160.0,307543,AAP
688,2014-12-28,160.28,161.2493,159.86,160.0,307543,AAP
689,2014-12-29,160.18,162.13,159.7407,161.22,417689,AAP
690,2014-12-30,161.21,162.08,160.0,160.03,340338,AAP
691,2014-12-31,160.64,162.694,159.26,159.28,468081,AAP
692,2015-01-01,160.64,162.694,159.26,159.28,468081,AAP
693,2015-01-02,160.85,162.5,157.47,158.56,509983,AAP
694,2015-01-03,160.85,162.5,157.47,158.56,509983,AAP
695,2015-01-04,160.85,162.5,157.47,158.56,509983,AAP
696,2015-01-05,158.17,158.9875,155.9,156.47,803635,AAP
697,2015-01-06,156.56,157.29,153.9,156.36,872305,AAP
698,2015-01-07,157.61,160.61,157.06,159.72,1326774,AAP
699,2015-01-08,163.36,163.46,161.0,161.12,1025714,AAP
700,2015-01-09,159.95,161.62,158.39,160.3,912289,AAP
701,2015-01-10,159.95,161.62,158.39,160.3,912289,AAP
702,2015-01-11,159.95,161.62,158.39,160.3,912289,AAP
703,2015-01-12,160.13,160.41,158.22,158.93,756863,AAP
704,2015-01-13,159.62,160.72,152.3312,153.76,824658,AAP
705,2015-01-14,151.9,153.16,149.38,150.83,719438,AAP
706,2015-01-15,151.17,151.86,147.83,148.02,926449,AAP
707,2015-01-16,148.0,150.2,147.2001,150.0,776897,AAP
708,2015-01-17,148.0,150.2,147.2001,150.0,776897,AAP
709,2015-01-18,148.0,150.2,147.2001,150.0,776897,AAP
710,2015-01-19,148.0,150.2,147.2001,150.0,776897,AAP
711,2015-01-20,150.04,152.75,148.45,152.66,941819,AAP
712,2015-01-21,152.49,154.085,152.07,153.35,711194,AAP
713,2015-01-22,154.4,157.62,153.9,156.54,738829,AAP
714,2015-01-23,156.99,158.05,154.64,155.78,685651,AAP
715,2015-01-24,156.99,158.05,154.64,155.78,685651,AAP
716,2015-01-25,156.99,158.05,154.64,155.78,685651,AAP
717,2015-01-26,155.75,159.25,155.75,159.23,615311,AAP
718,2015-01-27,158.09,159.525,156.87,159.03,541099,AAP
719,2015-01-28,159.49,161.13,158.52,159.3,1149815,AAP
720,2015-01-29,159.69,160.98,157.58,160.26,561313,AAP
721,2015-01-30,159.56,160.98,157.4,159.0,830486,AAP
722,2015-01-31,159.56,160.98,157.4,159.0,830486,AAP
723,2015-02-01,159.56,160.98,157.4,159.0,830486,AAP
724,2015-02-02,159.0,159.47,153.29,155.97,820098,AAP
725,2015-02-03,157.21,157.35,154.47,157.07,572597,AAP
726,2015-02-04,156.76,157.27,154.52,156.47,744977,AAP
727,2015-02-05,157.74,160.66,156.79,160.16,1294215,AAP
728,2015-02-06,160.4,162.43,160.22,162.0,863801,AAP
729,2015-02-07,160.4,162.43,160.22,162.0,863801,AAP
730,2015-02-08,160.4,162.43,160.22,162.0,863801,AAP
731,2015-02-09,161.62,161.76,159.07,160.74,1064157,AAP
732,2015-02-10,160.82,163.23,160.79,162.9,684595,AAP
733,2015-02-11,163.5,164.9997,161.54,162.39,1206950,AAP
734,2015-02-12,155.0,157.075,150.95,151.42,4046068,AAP
735,2015-02-13,151.02,151.83,149.2,150.16,2117562,AAP
736,2015-02-14,151.02,151.83,149.2,150.16,2117562,AAP
737,2015-02-15,151.02,151.83,149.2,150.16,2117562,AAP
